age,workclass,education,education_num,marital_status,occupation,capital_gain,capital_loss,hours_per_week,income
39,Private,Some-college,10,Divorced,Craft-repair,0,0,40,<=50K
28,Private,Assoc-acdm,12,Never-married,Sales,0,0,60,<=50K
24,Private,HS-grad,9,Never-married,Other-service,0,1762,40,<=50K
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,4386,0,35,<=50K
37,Private,Bachelors,13,Married-civ-spouse,Sales,0,0,50,<=50K
46,Private,Assoc-acdm,12,Divorced,Tech-support,0,0,36,<=50K
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,0,0,40,>50K
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,60,<=50K
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,0,0,35,<=50K
20,Private,Some-college,10,Never-married,Sales,0,0,20,<=50K
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,0,0,40,>50K
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,<=50K
27,Private,Some-college,10,Never-married,Sales,0,0,40,<=50K
19,Private,Some-college,10,Never-married,Other-service,0,0,30,<=50K
45,Private,Assoc-voc,11,Never-married,Prof-specialty,0,1564,40,>50K
70,Private,Some-college,10,Never-married,Tech-support,0,0,40,<=50K
31,Private,HS-grad,9,Never-married,Transport-moving,0,0,30,<=50K
22,Private,Some-college,10,Married-civ-spouse,Other-service,0,0,24,<=50K
36,Private,HS-grad,9,Widowed,Other-service,0,0,24,<=50K
64,Private,11th,7,Married-civ-spouse,Craft-repair,0,2179,40,<=50K
43,?,Some-college,10,Divorced,?,0,0,40,<=50K
47,Local-gov,Some-college,10,Divorced,Adm-clerical,0,0,38,<=50K
34,Private,HS-grad,9,Never-married,Adm-clerical,0,0,40,<=50K
33,Private,Bachelors,13,Never-married,Exec-managerial,0,0,40,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,0,0,35,<=50K
52,?,HS-grad,9,Divorced,?,0,0,45,>50K
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,46,<=50K
23,Private,Bachelors,13,Never-married,Handlers-cleaners,0,0,40,<=50K
71,Self-emp-not-inc,Some-college,10,Separated,Sales,0,1816,2,<=50K
29,Private,HS-grad,9,Divorced,Craft-repair,0,0,60,<=50K
42,Private,Bachelors,13,Separated,Other-service,0,0,50,<=50K
68,?,1st-4th,2,Divorced,?,0,0,20,<=50K
25,Private,HS-grad,9,Never-married,Other-service,0,0,40,<=50K
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,0,0,40,<=50K
28,Private,HS-grad,9,Never-married,Exec-managerial,0,0,40,<=50K
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,0,0,40,>50K
36,Private,Some-college,10,Divorced,Other-service,0,0,40,<=50K
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,0,0,42,<=50K
46,State-gov,Masters,14,Widowed,Protective-serv,0,0,40,<=50K
18,Private,11th,7,Never-married,Handlers-cleaners,0,0,16,<=50K
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,0,0,20,<=50K
27,Private,HS-grad,9,Never-married,Other-service,0,1980,40,<=50K
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,0,0,40,<=50K
51,Private,Some-college,10,Married-civ-spouse,Sales,0,1977,40,>50K
27,Private,Bachelors,13,Never-married,Craft-repair,0,0,50,<=50K
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,>50K
27,Private,HS-grad,9,Married-spouse-absent,Sales,0,0,25,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,0,0,40,<=50K
34,Private,HS-grad,9,Never-married,Handlers-cleaners,0,0,40,<=50K
18,Private,HS-grad,9,Never-married,Other-service,0,0,12,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,65,<=50K
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,0,0,38,>50K
43,Private,Some-college,10,Divorced,Adm-clerical,0,0,40,<=50K
30,Private,Some-college,10,Never-married,Craft-repair,0,0,45,<=50K
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,0,0,40,>50K
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,0,0,42,>50K
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,0,0,40,<=50K
53,?,Bachelors,13,Divorced,?,0,0,50,<=50K
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,0,0,50,<=50K
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,0,0,1,>50K
38,Private,Some-college,10,Divorced,Machine-op-inspct,0,0,28,<=50K
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,0,0,40,<=50K
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,0,0,40,<=50K
47,Private,Some-college,10,Married-civ-spouse,Tech-support,0,0,45,<=50K
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,0,0,24,<=50K
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,0,0,40,<=50K
36,Private,Some-college,10,Divorced,Craft-repair,0,0,40,<=50K
40,Federal-gov,Masters,14,Never-married,Exec-managerial,14084,0,55,>50K
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,7298,0,40,>50K
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,0,0,40,<=50K
26,Private,Masters,14,Never-married,Prof-specialty,0,1876,40,<=50K
19,?,HS-grad,9,Never-married,?,0,0,40,<=50K
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,50,>50K
42,Local-gov,Some-college,10,Never-married,Prof-specialty,0,1340,40,<=50K
37,State-gov,HS-grad,9,Divorced,Adm-clerical,0,0,35,<=50K
18,Private,11th,7,Never-married,Sales,0,0,40,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Other-service,7298,0,36,>50K
35,Private,HS-grad,9,Divorced,Craft-repair,0,0,60,<=50K
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,15024,0,35,>50K
17,Private,11th,7,Never-married,Sales,0,0,12,<=50K
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,0,0,40,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,>50K
35,Private,Some-college,10,Never-married,Sales,0,0,40,<=50K
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,<=50K
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,0,0,40,>50K
37,Private,Bachelors,13,Never-married,Exec-managerial,0,0,60,>50K
50,Private,Assoc-acdm,12,Divorced,Sales,0,0,40,<=50K
38,Private,Bachelors,13,Married-civ-spouse,Sales,0,0,50,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,55,<=50K
25,Private,10th,6,Never-married,Craft-repair,0,0,40,<=50K
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,0,0,40,<=50K
64,?,1st-4th,2,Divorced,?,0,0,40,<=50K
90,Private,HS-grad,9,Never-married,Other-service,0,2206,40,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,20,<=50K
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,0,0,35,<=50K
18,Private,HS-grad,9,Never-married,Sales,0,0,40,<=50K
60,?,10th,6,Divorced,?,0,0,10,<=50K
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,1409,0,50,<=50K
75,Private,Assoc-voc,11,Widowed,Adm-clerical,0,0,20,<=50K
65,Private,HS-grad,9,Divorced,Adm-clerical,0,0,40,<=50K
35,Private,11th,7,Separated,Transport-moving,3674,0,40,<=50K
41,Private,HS-grad,9,Divorced,Sales,0,0,38,<=50K
25,Private,Some-college,10,Never-married,Adm-clerical,0,0,42,<=50K
33,Private,Some-college,10,Divorced,Craft-repair,0,0,40,<=50K
28,Private,Prof-school,15,Never-married,Prof-specialty,0,0,55,>50K
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,0,0,40,<=50K
40,State-gov,Some-college,10,Never-married,Adm-clerical,0,0,38,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,50,>50K
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,0,0,70,>50K
23,Private,HS-grad,9,Never-married,Transport-moving,0,0,40,<=50K
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,40,>50K
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,0,0,20,<=50K
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,0,0,50,<=50K
20,?,Some-college,10,Never-married,?,0,0,20,<=50K
38,Private,Some-college,10,Divorced,Craft-repair,0,1741,40,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,35,<=50K
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,45,>50K
32,Private,HS-grad,9,Never-married,Other-service,0,0,34,<=50K
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,0,1977,60,>50K
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,0,0,40,>50K
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
59,Local-gov,10th,6,Widowed,Other-service,0,0,30,<=50K
19,Local-gov,Some-college,10,Never-married,Adm-clerical,0,0,40,<=50K
58,Private,Some-college,10,Never-married,Transport-moving,0,0,20,<=50K
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,0,0,40,>50K
20,Private,HS-grad,9,Never-married,Other-service,0,0,40,<=50K
32,Private,HS-grad,9,Separated,Other-service,0,0,30,<=50K
45,Private,Assoc-voc,11,Widowed,Exec-managerial,0,0,45,<=50K
50,Private,7th-8th,4,Divorced,Craft-repair,0,0,40,<=50K
36,Private,Bachelors,13,Divorced,Prof-specialty,0,0,40,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Sales,0,0,60,<=50K
17,Private,11th,7,Never-married,Other-service,0,0,12,<=50K
59,Private,Some-college,10,Married-civ-spouse,Sales,4064,0,40,<=50K
26,Private,11th,7,Married-civ-spouse,Craft-repair,0,0,40,<=50K
37,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,0,0,75,>50K
19,?,Some-college,10,Never-married,?,0,0,24,<=50K
64,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,0,0,40,>50K
33,Private,Bachelors,13,Never-married,Prof-specialty,0,0,45,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Craft-repair,0,0,40,>50K
61,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,0,0,40,>50K
17,Private,9th,5,Never-married,Other-service,1055,0,24,<=50K
50,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,2407,0,98,<=50K
27,Local-gov,Masters,14,Never-married,Prof-specialty,0,0,35,<=50K
30,Private,HS-grad,9,Divorced,Prof-specialty,0,0,40,<=50K
43,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,0,0,40,<=50K
44,Private,Some-college,10,Married-civ-spouse,Craft-repair,7298,0,40,>50K
35,Private,Some-college,10,Never-married,Exec-managerial,0,0,40,<=50K
25,Private,Some-college,10,Never-married,Tech-support,0,0,40,<=50K
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,7298,0,48,>50K
22,Private,Bachelors,13,Never-married,Prof-specialty,0,0,15,<=50K
42,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,5178,0,40,>50K
34,Private,Assoc-acdm,12,Divorced,Sales,0,0,45,<=50K
60,Private,Bachelors,13,Divorced,Prof-specialty,0,0,42,<=50K
21,Private,HS-grad,9,Never-married,Handlers-cleaners,0,0,40,<=50K
57,Federal-gov,Masters,14,Married-civ-spouse,Sales,15024,0,40,>50K
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,0,0,60,>50K
50,Private,Some-college,10,Divorced,Other-service,0,0,45,<=50K
25,Private,Bachelors,13,Never-married,Exec-managerial,0,0,40,<=50K
50,Private,7th-8th,4,Married-civ-spouse,Craft-repair,0,0,40,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,0,0,45,<=50K
31,Private,HS-grad,9,Divorced,Prof-specialty,0,0,40,<=50K
29,Local-gov,Bachelors,13,Never-married,Protective-serv,0,0,56,<=50K
21,Private,Some-college,10,Never-married,Sales,0,0,45,<=50K
27,Private,Bachelors,13,Never-married,Tech-support,0,0,40,<=50K
65,Private,HS-grad,9,Married-civ-spouse,Transport-moving,0,0,16,<=50K
37,Self-emp-inc,Bachelors,13,Divorced,Sales,0,0,60,<=50K
39,?,Masters,14,Married-civ-spouse,?,3464,0,40,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,0,0,40,<=50K
38,Private,HS-grad,9,Divorced,Sales,0,0,80,<=50K
48,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,7688,0,40,>50K
21,Private,Some-college,10,Never-married,Other-service,0,0,25,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,0,0,45,>50K
55,Private,HS-grad,9,Married-civ-spouse,Sales,4386,0,40,>50K
24,Private,Some-college,10,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
43,Private,HS-grad,9,Divorced,Adm-clerical,0,0,40,<=50K
26,Private,Assoc-acdm,12,Never-married,Tech-support,0,0,45,<=50K
46,Private,Assoc-acdm,12,Never-married,Prof-specialty,0,0,33,<=50K
35,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,0,0,40,>50K
41,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,0,0,54,>50K
26,Private,Bachelors,13,Never-married,Sales,0,0,40,<=50K
34,Private,Masters,14,Married-civ-spouse,Exec-managerial,7298,0,35,>50K
19,?,Some-college,10,Never-married,?,0,0,25,<=50K
36,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,0,0,40,>50K
22,Private,Some-college,10,Never-married,Sales,0,0,15,<=50K
24,Private,Some-college,10,Never-married,Machine-op-inspct,0,0,40,<=50K
77,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,0,0,40,<=50K
22,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,0,0,40,<=50K
29,Private,Some-college,10,Never-married,Tech-support,0,0,40,<=50K
62,Private,HS-grad,9,Widowed,Other-service,0,0,24,<=50K
39,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,0,0,40,<=50K
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,0,1485,50,<=50K
35,Private,HS-grad,9,Divorced,Transport-moving,0,0,45,<=50K
29,Private,11th,7,Never-married,Exec-managerial,0,0,40,<=50K
76,Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,0,0,10,<=50K
63,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,0,0,45,<=50K
23,?,Assoc-voc,11,Never-married,?,0,0,15,<=50K
43,Private,Some-college,10,Married-civ-spouse,Prof-specialty,0,1887,50,>50K
58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,0,0,40,<=50K
66,Private,HS-grad,9,Never-married,Transport-moving,2050,0,55,<=50K
41,Private,Some-college,10,Never-married,Craft-repair,0,0,45,<=50K
26,Private,Bachelors,13,Never-married,Adm-clerical,0,0,40,<=50K
47,Private,Assoc-voc,11,Never-married,Other-service,0,0,40,<=50K
55,Local-gov,10th,6,Married-civ-spouse,Adm-clerical,0,0,40,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Transport-moving,0,0,40,<=50K
17,Private,5th-6th,3,Never-married,Other-service,0,0,48,<=50K
30,Private,HS-grad,9,Never-married,Craft-repair,0,0,40,<=50K
49,Private,Masters,14,Never-married,Prof-specialty,0,0,60,<=50K
19,Private,HS-grad,9,Never-married,Sales,0,0,30,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Other-service,0,0,40,<=50K
26,Private,Assoc-acdm,12,Never-married,Sales,0,0,40,<=50K
38,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,7298,0,40,>50K
36,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,7298,0,40,>50K
33,Private,HS-grad,9,Never-married,Farming-fishing,0,0,20,<=50K
22,State-gov,Some-college,10,Never-married,Protective-serv,0,0,40,<=50K
43,Self-emp-not-inc,Bachelors,13,Never-married,Sales,0,0,42,<=50K
67,?,11th,7,Married-civ-spouse,?,0,0,8,<=50K
30,?,Assoc-voc,11,Divorced,?,0,0,40,<=50K
56,Private,Assoc-acdm,12,Married-spouse-absent,Other-service,0,0,25,<=50K
31,Private,Bachelors,13,Never-married,Prof-specialty,0,0,25,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,40,>50K
26,Private,HS-grad,9,Married-civ-spouse,Other-service,0,0,40,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,0,0,40,>50K
46,Local-gov,11th,7,Married-civ-spouse,Transport-moving,0,0,30,<=50K
59,?,Bachelors,13,Married-civ-spouse,?,0,0,40,>50K
38,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,0,0,40,>50K
65,Private,11th,7,Widowed,Other-service,0,0,40,<=50K
40,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,0,0,40,>50K
